species,sci_name,mass,trophic_niche1,trophic_niche2
Long-billed Dowitcher,Limnodromus scolopaceus,104.4,Aquatic predator,Terrestrial
Long-billed Thrasher,Toxostoma longirostre,67.6,Invertivore,Terrestrial
Long-eared Owl,Asio otus,296.6,Vertivore,Aerial
Long-tailed Duck,Clangula hyemalis,871,Aquatic predator,Aquatic
Louisiana Waterthrush,Parkesia motacilla,19.9,Invertivore,Terrestrial
Lucy's Warbler,Leiothlypis luciae,6.6,Invertivore,Insessorial
MacGillivray's Warbler,Geothlypis tolmiei,10.4,Invertivore,Generalist
Magnolia Warbler,Setophaga magnolia,8.1,Invertivore,Insessorial
Mallard,Anas platyrhynchos,843.4,Herbivore aquatic,Aquatic
Marbled Godwit,Limosa fedoa,357,Aquatic predator,Terrestrial
Marbled Murrelet,Brachyramphus marmoratus,220,Aquatic predator,Aquatic
Marsh Wren,Cistothorus palustris,10.8,Invertivore,Insessorial
McCown's Longspur,Rhynchophanes mccownii,25.7,Granivore,Terrestrial
Merlin,Falco columbarius,188.5,Vertivore,Aerial
Mew Gull,Larus canus,412.5,Omnivore,Terrestrial
Mexican Jay,Aphelocoma wollweberi,113.3,Omnivore,Generalist
Mississippi Kite,Ictinia mississippiensis,276,Invertivore,Generalist
Monk Parakeet,Myiopsitta monachus,120,Omnivore,Insessorial
Mottled Duck,Anas fulvigula,843.4,Herbivore aquatic,Aquatic
Mountain Bluebird,Sialia currucoides,29.6,Invertivore,Insessorial
Mountain Chickadee,Poecile gambeli,11.2,Invertivore,Insessorial
Mountain Plover,Charadrius montanus,95.7,Invertivore,Terrestrial
Mountain Quail,Oreortyx pictus,233,Omnivore,Terrestrial
Mourning Dove,Zenaida macroura,118.9,Granivore,Terrestrial
Mourning Warbler,Geothlypis philadelphia,11.7,Invertivore,Insessorial
Mute Swan,Cygnus olor,10682,Herbivore aquatic,Aquatic
Nashville Warbler,Leiothlypis ruficapilla,8.1,Invertivore,Insessorial
Nelson's Sparrow,Ammospiza nelsoni,15.1,Invertivore,Generalist
Northern Bobwhite,Colinus virginianus,171.9,Omnivore,Terrestrial
Northern Cardinal,Cardinalis cardinalis,42.6,Omnivore,Insessorial
Northern Flicker,Colaptes auratus,131.5,Invertivore,Generalist
Northern Fulmar,Fulmarus glacialis,611.9,Aquatic predator,Aquatic
Northern Gannet,Morus bassanus,2998.7,Aquatic predator,Aerial
Northern Goshawk,Accipiter gentilis,866,Vertivore,Generalist
Northern Harrier,Circus hudsonius,393,Vertivore,Aerial
Northern Mockingbird,Mimus polyglottos,48.5,Omnivore,Generalist
Northern Parula,Setophaga americana,7.8,Invertivore,Insessorial
Northern Pintail,Anas acuta,944.6,Herbivore aquatic,Aquatic
Northern Pygmy-Owl,Glaucidium gnoma,61.3,Invertivore,Insessorial
Northern Rough-winged Swallow,Stelgidopteryx serripennis,15.7,Invertivore,Aerial
Northern Saw-whet Owl,Aegolius acadicus,100.7,Vertivore,Insessorial
Northern Shoveler,Spatula clypeata,612.6,Aquatic predator,Aquatic
